dataset,exchange,symbol,timeframe,strategy,strategy_params,position_mode,fee_bps,slippage_bps,spread_bps,execution_delay,total_return,cagr,sharpe,sortino,calmar,profit_factor,win_rate,max_drawdown,trades_count,avg_trade,median_trade,exposure,buy_hold_total_return,buy_hold_cagr,buy_hold_sharpe,buy_hold_max_drawdown,excess_total_return_vs_buy_hold,excess_cagr_vs_buy_hold,excess_sharpe_vs_buy_hold,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades_count,train_exposure,test_total_return,test_cagr,test_sharpe,test_max_drawdown,test_trades_count,test_exposure,test_minus_train_cagr,test_minus_train_sharpe,performance_score,performance_rank
binance_BTCUSDT_2h,binance,BTCUSDT,2h,ema_trend,"fast=20, slow=100",long_only_spot,10.0,2.0,0.0,1,0.2814696695596528,0.05991205562581747,0.3416595174540852,0.3183437937140084,0.13170322117548577,1.0225308381158593,0.26112807327655474,-0.4549019765126978,123.0,0.004337455341043136,-0.015067897181871293,0.5122931062188655,0.5247656705767179,0.1040326759627479,0.4475786669848776,-0.6736711020954911,-0.24329600101706506,-0.04412062033693043,-0.1059191495307924,0.7316467694484734,0.21319931727456942,0.7290610057304462,-0.4549019765126978,83.0,0.5251526840244295,-0.259970513520032,-0.19090089030047275,-0.6331283216686607,-0.39053648889878256,40.0,0.4865863453815261,-0.40410020757504217,-1.3621893273991068,66.15384615384616,20
binance_BTCUSDT_2h,binance,BTCUSDT,2h,donchian_breakout,window=55,long_only_spot,10.0,2.0,0.0,1,0.2597749616386742,0.05567463881376278,0.3293412465106269,0.32305363235098233,0.12473413358184175,1.0210620159127966,0.2823397075365579,-0.4463464587841387,76.0,0.00790606902708998,-0.02704719511915138,0.5577695645187208,0.5247656705767179,0.1040326759627479,0.4475786669848776,-0.6736711020954911,-0.26499070893804366,-0.04835803714898512,-0.11823742047425068,0.7508891999895866,0.21792745264871027,0.7295084714207221,-0.41372009306604807,49.0,0.5614754098360656,-0.28049418452854336,-0.20675512937428298,-0.6252053973260572,-0.4069728303383483,27.0,0.5503614457831325,-0.42468258202299325,-1.3547138687467792,65.38461538461539,22
nobitex_BTCUSDT_3h,nobitex,BTCUSDT,3h,atr_breakout,"window=20, atr_multiple=1.5",long_only_spot,10.0,2.0,0.0,1,0.17002599911411842,0.038446149298213106,0.27518975000531054,0.2038582564101167,0.0919989451864482,1.029127259058601,0.14275135757775217,-0.4178977185042375,217.0,0.0014616517617349217,-0.007165383263291303,0.28649004442981735,0.6299647599136626,0.12454241947415112,0.48473833761840296,-0.6742401247401237,-0.4599387607995442,-0.08609627017593802,-0.20954858761309242,0.7882554240264987,0.23246660016502196,0.8862068909958526,-0.4178977185042375,138.0,0.28830049261083746,-0.3457165104078662,-0.2643983598572375,-1.347538725602395,-0.38875857963980476,79.0,0.28284581060981656,-0.49686496002225944,-2.2337456165982474,63.07692307692307,23
nobitex_BTCUSDT_1d,nobitex,BTCUSDT,1d,rsi_mean_reversion,"window=14, entry=30, exit=50",long_only_spot,10.0,2.0,0.0,1,-0.23520731436121722,-0.025024627438402947,0.05759449445188112,0.03146966804622725,-0.05275351459694249,1.0220281551589852,0.13360952874158466,-0.4743689141775842,61.0,-0.0010490154438634134,0.0011770976074070294,0.24054893837389954,8.678978546049093,0.2392854651628502,0.6966982835332477,-0.7662925431645939,-8.91418586041031,-0.26431009260125315,-0.6391037890813666,-0.08021960516058446,-0.010681955524086906,0.12585343861414097,-0.4743689141775842,41.0,0.22941590429275158,-0.1685051236906303,-0.06389988247577116,-0.2145019223121304,-0.3516452710709339,20.0,0.27156862745098037,-0.05321792695168426,-0.3403553609262714,61.593406593406584,24
binance_BTCUSDT_1h,binance,BTCUSDT,1h,ema_trend,"fast=20, slow=100",long_only_spot,10.0,2.0,0.0,1,0.10216564822473573,0.023085555337335695,0.23454191382519418,0.21661516969045896,0.04163865743429752,1.0110847923042527,0.25293944344751856,-0.5544260252329908,240.0,0.0017481790305376027,-0.011607175766055522,0.5020489059110266,0.5216614644971853,0.10350784563583892,0.44714571863479013,-0.6737711687834638,-0.4194958162724496,-0.08042229029850323,-0.21260380480959595,1.1169317951482332,0.3021046360741677,0.9267392367596229,-0.4406174847499611,150.0,0.5043597058705348,-0.47935703419884546,-0.3682380733762072,-1.4651595451937054,-0.55442602523299,90.0,0.497429718875502,-0.6703427094503749,-2.391898781953328,60.439560439560445,25
nobitex_BTCUSDT_1d,nobitex,BTCUSDT,1d,bollinger_mean_reversion,"window=20, z_entry=-2.0, z_exit=0.0",long_only_spot,10.0,2.0,0.0,1,-0.25468864789454326,-0.027399338138345275,0.05092235888675406,0.026701165244412794,-0.04343756264816618,1.0198452835742233,0.1266183324702227,-0.6307752200618006,59.0,-0.0009141110443858471,0.01861173665722271,0.22734334541688245,8.678978546049093,0.2392854651628502,0.6966982835332477,-0.7662925431645939,-8.933667193943636,-0.2666848033011955,-0.6457759246464936,-0.17034275534153898,-0.023698164194495996,0.0845414078580122,-0.6307752200618006,38.0,0.20619282195636876,-0.1016635400896495,-0.037637979907098607,-0.08429369579250032,-0.3582313301528577,21.0,0.28627450980392155,-0.01393981571260261,-0.16883510365051252,59.78021978021979,26
nobitex_BTCUSDT_1h,nobitex,BTCUSDT,1h,atr_breakout,"window=20, atr_multiple=1.5",long_only_spot,10.0,2.0,0.0,1,-0.18179728133363282,-0.018792662733339793,0.057843775028385065,0.03708945249096338,-0.023891823237227532,1.0040820355767943,0.0930305352574827,-0.786572985524923,1155.0,6.575712376622306e-05,-0.0035295993581175855,0.18816583375608492,8.342909515303418,0.2352687523242305,0.6571315377881434,-0.7719848663243958,-8.524706796637052,-0.2540614150575703,-0.5992877627597583,0.03185769287979334,0.004037645003182044,0.15478336059824468,-0.786572985524923,874.0,0.19662056118632384,-0.20705856600937123,-0.07970007075569951,-0.3278596066494861,-0.3452953057794842,281.0,0.16460972619534123,-0.08373771575888156,-0.4826429672477308,56.92307692307692,27
nobitex_BTCIRT_1d,nobitex,BTCIRT,1d,bollinger_mean_reversion,"window=20, z_entry=-2.0, z_exit=0.0",long_only_spot,10.0,2.0,0.0,1,-0.007348608396658296,-0.003096745837798953,0.08673983902411514,0.05929784841781574,-0.012946618127195515,1.027078127329711,0.0956221198156682,-0.2391934177230396,12.0,0.001153905913495697,-0.005548304224226308,0.195852534562212,4.689985647913636,1.077444676222835,1.8203259821661768,-0.32931171962401173,-4.6973342563102936,-1.0805414220606337,-1.7335861431420616,0.1065318274095024,0.1062258180101423,0.5959828606848404,-0.18639145496535814,5.0,0.1885245901639344,-0.10291654788887994,-0.07592939231279394,-0.28449605013446566,-0.23919341772303926,7.0,0.20119521912350596,-0.18215521032293625,-0.8804789108193061,55.329670329670336,28
binance_BTCUSDT_30m,binance,BTCUSDT,30m,donchian_breakout,window=55,long_only_spot,10.0,2.0,0.0,1,-0.5573083754464097,-0.17404973553303582,-0.3836212009879838,-0.355422027175566,-0.283219222512438,0.9874618297037648,0.26223865204055663,-0.6145406868539517,309.0,-0.001521692120481499,-0.013254195181835793,0.5234593696843064,0.5430983070707194,0.10715535886654748,0.454345984019803,-0.6747711066517477,-1.100406682517129,-0.2812050943995833,-0.8379671850077868,-0.2043076701725548,-0.07729432057860852,-0.035896831768074504,-0.6145406868539517,203.0,0.5296741270542854,-0.44916452056884293,-0.34282038531098924,-1.2836713774445194,-0.4893521846798067,107.0,0.5109896733234218,-0.2655260647323807,-1.2477745456764449,55.16483516483517,29
binance_BTCUSDT_4h,binance,BTCUSDT,4h,rsi_mean_reversion,"window=14, entry=30, exit=50",long_only_spot,10.0,2.0,0.0,1,-0.5631553199261823,-0.17658195646382313,-0.5423456908990637,-0.3682189204026736,-0.2720205735361947,0.9340820846544264,0.13304767005891804,-0.6491492689994177,177.0,-0.0035919745459719226,0.0023486390535889523,0.26523835029459025,0.5114469206970549,0.10175681950586091,0.44276954183994455,-0.6721392902034942,-1.0746022406232372,-0.27833877596968404,-0.9851152327390083,-0.5219358941849352,-0.22876534144266736,-0.7289715774528867,-0.5561908043367956,118.0,0.2647058823529412,-0.08622154485112765,-0.06146272341681536,-0.11727931112227181,-0.30060975717946237,59.0,0.2663026019916479,0.167302618025852,0.6116922663306148,54.61538461538461,30
binance_BTCUSDT_30m,binance,BTCUSDT,30m,ema_trend,"fast=20, slow=100",long_only_spot,10.0,2.0,0.0,1,-0.590544700172648,-0.18903872144574974,-0.442778875877423,-0.41550993867054264,-0.28949446085622105,0.9854337196004237,0.2545237808226517,-0.6529959878563508,508.0,-0.0011012423856689986,-0.007859056504930517,0.5116459731318894,0.5430983070707194,0.10715535886654748,0.454345984019803,-0.6747711066517477,-1.1336430072433674,-0.2961940803122972,-0.8971248598972259,0.023775656874003293,0.008305177695262289,0.20479500018673888,-0.5267808391968134,334.0,0.517278096998433,-0.6040252715012824,-0.479087065602116,-2.0978420857148152,-0.6448183996512851,175.0,0.500341543777876,-0.4873922432973783,-2.302637085901554,52.96703296703297,31
binance_BTCUSDT_15m,binance,BTCUSDT,15m,donchian_breakout,window=55,long_only_spot,10.0,2.0,0.0,1,-0.7139581769430707,-0.2545068030570059,-0.6827025573111899,-0.6377928266351626,-0.3507422667412561,0.9840333499680909,0.25435306723814627,-0.7256234197880592,682.0,-0.0014478087011636006,-0.007224420639895535,0.5133002946691669,0.5480519849370298,0.10798989067187748,0.4558594628979793,-0.6747711066517468,-1.2620101618801005,-0.3624966937288834,-1.1385620202091693,-0.2621234896839886,-0.10147331700310702,-0.110009376097506,-0.49248578602034265,431.0,0.5166906084563071,-0.6135774488538532,-0.487972169393435,-2.119156412176702,-0.6379353213922191,252.0,0.5064995077652542,-0.386498852390328,-2.009147036079196,49.56043956043957,32
nobitex_BTCUSDT_30m,nobitex,BTCUSDT,30m,donchian_breakout,window=55,long_only_spot,10.0,2.0,0.0,1,-0.004131140039757897,-0.19624138705390148,-1.4478356601344573,-1.1167020467379456,-14.5951339506682,0.9469043233130185,0.14457831325301204,-0.01344567221631543,1.0,-0.004131140039757897,-0.004131140039757897,0.28012048192771083,-0.10612432796800308,-0.9973156406004042,-14.095457929526892,-0.1270741275915166,0.10199318792824519,0.8010742535465027,12.647622269392436,0.0,0.0,0.0,0.0,0.0,0.0,-0.004131140039757897,-0.19624138705390148,-1.4478356601344573,-0.01344567221631543,1.0,0.28012048192771083,-0.19624138705390148,-1.4478356601344573,49.56043956043957,32
binance_BTCUSDT_4h,binance,BTCUSDT,4h,bollinger_mean_reversion,"window=20, z_entry=-2.0, z_exit=0.0",long_only_spot,10.0,2.0,0.0,1,-0.6441940789428574,-0.21528098346439417,-0.6924962322358487,-0.46050567638396483,-0.31797662238073837,0.9157880444086941,0.1280128548473487,-0.677033996564129,160.0,-0.0052570110719870064,0.006045961800288713,0.25763256561328335,0.5114469206970549,0.10175681950586091,0.44276954183994455,-0.6721392902034942,-1.1556409996399122,-0.3170378029702551,-1.1352657740757932,-0.6059686061281999,-0.27949630678143333,-0.9353091746811389,-0.6535494464610685,110.0,0.266955962712954,-0.09701123669119083,-0.06927267087479805,-0.14082552863198902,-0.3196839657951117,50.0,0.23899775136524254,0.2102236359066353,0.7944836460491499,49.560439560439555,34
